Descripción;Codigo;Precio de venta;;
ATF D-VI C6/4;199999;$78.867,00;;
ELAION AURO D1 020 GEN 3 4/4;170995;$110.639,64;;
ELAION AURO D1 530 GEN 3 4/4;171795;$110.639,64;;
ELAION AURO D2 530 4/4;173895;$108.470,72;;
ELAION AURO DPF 530 4/4;172695;$111.590,21;;
ELAION AURO FE 530 4/4;171895;$107.957,98;;
ELAION AURO FR 540 4/4;172995;$107.417,71;;
ELAION AURO PLUS 540 4/4;172795;$107.929,41;;
ELAION FS 530 4/4;176095;$98.885,45;;
ELAION FS 540 4/4;176195;$98.885,45;;
ELAION MI 1540 4/4;174195;$50.288,39;;
ELAION MI 2050 4/4;174495;$39.283,04;;
ELAION TS 1040 4/4;176395;$59.772,38;;
EXTRAVIDA XV300 C6/4;189299;$46.293,00;;
EXTRA VIDA XV100 B20;189080;$117.228,89;;
HIDRO 19 B20;125980;$106.993,61;;
ATF D-III 12/1;125396;$13.131,94;;`
ELAION AURO D1 020 GEN 3 12/1;170996;$29.846,10;;
ELAION AURO D1 530 GEN 3 12/1;171796;$29.846,10;;
ELAION AURO D2 530 12/1;173896;$29.260,76;;
ELAION AURO DPF 530 12/1;172696;$30.168,81;;
ELAION AURO FE 530 12/1;171896;$29.120,49;;
ELAION AURO FR 530 12/1;172896;$28.972,88;;
ELAION AURO FR 540 12/1;172996;$28.972,98;;
ELAION AURO PLUS 540 12/1;172796;$29.109,10;;
ELAION F50 5W-30 12/1;193296;$24.029,00;;
ELAION FS 530 12/1;176096;$26.624,23;;
ELAION FS 540 12/1;176196;$26.624,23;;
ELAION MI 1540 12/1;174196;$13.945,67;;
ELAION TS 1040 12/1;176396;$16.318,83;;
EXTRA VIDA XV300 C12/1;189296;$15.102,47;;
HD SUPLEMENTO 1 40 C12/1;108296;$9.874,21;;
HELICOIDAL 75W-90;102096;$20.963,75;;
HIDRO ATF C12/1;125496;$10.583,78;;
HIPOIDAL 80W90 C12/1;123096;$10.952,85;;
RoD 2T X100 cc;178122;$2.149,39;;
RoD 2T X1lt;178196;$7.908,72;;
RoD 2T X200cc;178125;$2.799,97;;
RoD 4T 10W-30 X1 lt;178396;$13.658,45;;
RoD 4T 10W-40 X1 lt;178496;$13.658,45;;
RoD 4T 10W-50 X1lt;178596;$21.603,11;;
Grasa 62 EP Surt (1kg) Ypf Grasas Un;617000;$7.173,00;;
Cbio de Aceite (Mano de obra) Boxes;15018;$15.000,00;;
ELAION MOTO 2T 40X200;107925;$2.191,00;;
ELAION MOTO 2T 60X100;107922;$1.668,00;;
ELAION MOTO 4T 10W-50 12/1;107796;$16.717,00;;
Elaion Moto Cadenas aerosol Ypf 220 cc Un;108408;$8.402,00;;
ELAION NAUTICO 2T;106496;$13.139,11;;
KRIOX AUTOMOTRIZ INORGANICO C12/1;185296;$9.404,79;;
KRIOX AUTOMOTRIZ ORGANICO AMARILLO C12/1;184596;$9.967,20;;
KRIOX AUTOMOTRIZ ORGANICO FUCSIA C12/1;185496;$9.967,20;;
KRIOX AUTOMOTRIZ ORGANICO VIOLETA C12/1;184696;$9.967,20;;
LAVA PARABRISAS 12/1 L;504896;$5.240,08;;
LAVA PARABRISAS 30/ 50ML;187909;$4.381,90;;
LIMPIA MOTORES 12/400 ML;505036;$7.635,82;;
LIMPIA TAPIZADOS 12/400 ML;505236;$7.635,82;;
LIQ. P/ FRENOS HIDR ULICOS DOT4 12X1;114796;$22.293,22;;
LIQ. P/FRENOS HIDR ULICOS DOT4 24X200 CC;114731;$6.647,23;;
LIQUIDO P/FRENOS DOT 3 C12/1;186696;$11.123,71;;
LIQUIDO P/FRENOS DOT 3 C24/200;186631;$3.552,64;;
MULTIPROPOSITO LIMIT 25/220ML;505408;$4.962,81;;
RENOVADOR C/SILIC. LAVANDA 12/400 ML;505136;$7.635,82;;
RENOVADOR C/SILIC. VAINILLA 12/400ML;505636;$7.635,82;;
Cbio Filtro aceite (Mano de obra) Boxes;15019;$5.000,00;;
