Marca;Modelo;Motor;Combustible;Elemento;Denominacion;Codigo Man;Codigo Wix;Descripcion
AGRALE;Marrua;AM 200-E 2.8 12V;Diesel;Elemento secundario;SEC;CF 1150;#N/A;
AGRALE;Marrua;AM 200-E 2.8 12V;Diesel;Filtro de aire;A;C 18 450/1;WA10530;
AGRALE;Marrua;AM 200-E 2.8 12V;Diesel;Filtro de aceite;O;W 1323;WL7414;
ALFA ROMEO;145;1.4 i.e. 16V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;145;1.4 i.e. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;145;1.4 i.e. 16V;Nafta;Filtro de combustible;F;WK 512;WF8101;
ALFA ROMEO;145;1.4 i.e. 16V;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;145;1.4 i.e. 16V;Nafta;Filtro de aire;A;C 25 100/1;WA6737;Atmósera con mucho polvo
ALFA ROMEO;145;1.7 i.e. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;145;1.7 i.e. 16V;Nafta;Filtro de combustible;F;WK 512;WF8101;
ALFA ROMEO;145;1.7 i.e. 16V;Nafta;Filtro de aceite;O;W 714/2;#N/A;
ALFA ROMEO;145;1.8 i.e. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;145;1.8 i.e. 16V;Nafta;Filtro de combustible;F;WK 512;WF8101;
ALFA ROMEO;145;1.8 i.e. 16V;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;145;1.8 i.e. 16V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;145;1.8 i.e. 16V;Nafta;Filtro de aire;A;C 25 100/1;WA6737;Atmósera con mucho polvo
ALFA ROMEO;145;1.9 JTD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;145;1.9 JTD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;145;1.9 JTD;Diesel;Filtro de combustible;F;WK 853/8;WF8179;
ALFA ROMEO;145;1.9 JTD;Diesel;Filtro de aceite;O;W 714/4;#N/A;
ALFA ROMEO;145;1.9 JTD;Diesel;Filtro de aire;A;C 25 100/1;WA6737;Atmósera con mucho polvo
ALFA ROMEO;145;1.9 TD;Diesel;Filtro de combustible;F;WK 836;WF8068;
ALFA ROMEO;145;1.9 TD;Diesel;Filtro de aceite;O;W 1126/4;WL7324;
ALFA ROMEO;145;1.9 TD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;145;1.9 TD;Diesel;Filtro de aire;A;C 2571/1;WA6203;
ALFA ROMEO;145;1.9 TD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;145;2.0 16V;Nafta;Filtro de aceite;O;W 7053;WL7086;
ALFA ROMEO;145;2.0 16V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;145;2.0 16V;Nafta;Filtro de combustible;F;WK 830/6 x;#N/A;
ALFA ROMEO;145;2.0 16V;Nafta;Filtro de aceite;O;W 713/16;WL7086;
ALFA ROMEO;145;2.0 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;145;2.0 16V;Nafta;Filtro de aire;A;C 2571/1;WA6203;
ALFA ROMEO;145;2.0 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;145;2.0 T.S. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;145;2.0 T.S. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;145;2.0 T.S. 16V;Nafta;Filtro de combustible;F;WK 512;WF8101;
ALFA ROMEO;145;2.0 T.S. 16V;Nafta;Filtro de aceite;O;W 712/16;WL7086;Parcialmente / o
ALFA ROMEO;145;2.0 T.S. 16V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;145;2.0 T.S. 16V;Nafta;Filtro de aire;A;C 25 100/1;WA6737;
ALFA ROMEO;146;1.8 i.e. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;146;1.8 i.e. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;146;1.8 i.e. 16V T.S.;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;146;1.8 i.e. 16V T.S.;Nafta;Filtro de combustible;F;WK 512;WF8101;
ALFA ROMEO;146;1.8 i.e. 16V T.S.;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;146;1.8 i.e. 16V T.S.;Nafta;Filtro de aire;A;C 25 100/1;WA6737;Atmósera con mucho polvo
ALFA ROMEO;146;1.8 i.e. 16V T.S.;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;146;1.8 i.e. 16V T.S.;Nafta;Filtro de aceite;O;W 7053;WL7086;
ALFA ROMEO;146;1.9 JTD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;146;1.9 JTD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;146;1.9 JTD;Diesel;Filtro de combustible;F;WK 853/8;WF8179;
ALFA ROMEO;146;1.9 JTD;Diesel;Filtro de aceite;O;W 714/4;WL7086;
